timestamp,sample_id,label,estacion,luz,paso_global,roi_x,roi_y,roi_w,roi_h,mean_intensity,std_intensity,min_intensity,max_intensity,mean_grad,std_grad,max_grad,mean_abs_lap,std_lap,glare_pct
2026-06-02T20:51:09,1,buena,1,1,1,145,70,93,92,0.020611153915524483,0.01992812752723694,0.0,0.09019608050584793,0.02550133690237999,0.0300733782351017,0.24913538992404938,0.009523876011371613,0.012895969673991203,0.0
2026-06-02T20:51:09,1,buena,1,2,2,145,70,93,92,0.020277023315429688,0.019477372989058495,0.0,0.09019608050584793,0.025106454268097878,0.02930530719459057,0.23711714148521423,0.009351997636258602,0.012601940892636776,0.0
2026-06-02T20:51:09,1,buena,1,3,3,145,70,93,92,0.01963442750275135,0.019129252061247826,0.0,0.08627451211214066,0.024730123579502106,0.028691748157143593,0.22328849136829376,0.009226412512362003,0.012406881898641586,0.0
2026-06-02T20:51:09,1,buena,1,4,4,145,70,93,92,0.019994225353002548,0.01931469514966011,0.0,0.08627451211214066,0.024838680401444435,0.028576761484146118,0.22636659443378448,0.009120535105466843,0.012247735634446144,0.0
2026-06-02T20:51:09,2,buena,2,1,5,285,65,91,88,0.029320189729332924,0.029531845822930336,0.0,0.5176470875740051,0.03817106410861015,0.056923288851976395,1.4772608280181885,0.011696146801114082,0.022545645013451576,0.0
2026-06-02T20:51:09,2,buena,2,2,6,285,65,91,88,0.029867680743336678,0.02886120229959488,0.0,0.5764706134796143,0.038456857204437256,0.05654553696513176,1.4772191047668457,0.01199633814394474,0.0227641798555851,0.0
2026-06-02T20:51:09,2,buena,2,3,7,285,65,91,88,0.017255784943699837,0.013191266916692257,0.0,0.1882352977991104,0.028367772698402405,0.027670906856656075,0.5307897925376892,0.010569333098828793,0.014594976790249348,0.0
2026-06-02T20:51:09,2,buena,2,4,8,285,65,91,88,0.026918180286884308,0.026235636323690414,0.0,0.15294118225574493,0.034841831773519516,0.03448543697595596,0.3599308431148529,0.011462068185210228,0.015582714229822159,0.0
2026-06-02T20:51:12,3,buena,3,1,9,305,290,96,100,0.03849387168884277,0.057437118142843246,0.0,0.48235294222831726,0.07038438320159912,0.11239922791719437,1.237228512763977,0.016938725486397743,0.03419264405965805,0.0
2026-06-02T20:51:12,3,buena,3,2,10,305,290,96,100,0.03213685005903244,0.02826201543211937,0.0,0.4274509847164154,0.0551682785153389,0.07015203684568405,1.17951238155365,0.01493668369948864,0.02505316026508808,0.0
2026-06-02T20:51:12,3,buena,3,3,11,305,290,96,100,0.022482434287667274,0.02215913124382496,0.0,0.33725491166114807,0.04245835170149803,0.05907513573765755,1.0142241716384888,0.01295996829867363,0.022563859820365906,0.0
2026-06-02T20:51:12,3,buena,3,4,12,305,290,96,100,0.02116585150361061,0.022382045164704323,0.0,0.3764705955982208,0.040639203041791916,0.058627668768167496,1.0645451545715332,0.0129097243770957,0.023183494806289673,0.0
2026-06-02T20:51:13,4,buena,4,1,13,471,315,109,98,0.039963141083717346,0.04883259907364845,0.0,0.45098039507865906,0.056450869888067245,0.08666766434907913,1.049296259880066,0.01549537293612957,0.029209138825535774,0.0
2026-06-02T20:51:13,4,buena,4,2,14,471,315,109,98,0.04104504734277725,0.051402702927589417,0.0,0.47058823704719543,0.058439478278160095,0.09373658150434494,1.1333264112472534,0.016077624633908272,0.03115427866578102,0.0
2026-06-02T20:51:13,4,buena,4,3,15,471,315,109,98,0.04974723979830742,0.052422743290662766,0.0,0.5372549295425415,0.07049211859703064,0.0994090810418129,1.2471575736999512,0.0183901097625494,0.0343022346496582,0.0
2026-06-02T20:51:13,4,buena,4,4,16,471,315,109,98,0.04657423123717308,0.056384216994047165,0.0,0.5803921818733215,0.06745237112045288,0.10792186856269836,1.2862986326217651,0.01794259063899517,0.03623862564563751,0.0
2026-06-02T20:52:17,5,buena,1,1,1,145,70,93,92,0.04069017246365547,0.03706108778715134,0.0,0.47843137383461,0.05124226585030556,0.07887928187847137,1.3695204257965088,0.014035330154001713,0.024209901690483093,0.0
2026-06-02T20:52:17,5,buena,1,2,2,145,70,93,92,0.04024970531463623,0.03702046349644661,0.0,0.4941176474094391,0.051596250385046005,0.07952584326267242,1.389508605003357,0.014100871048867702,0.024307675659656525,0.0
2026-06-02T20:52:17,5,buena,1,3,3,145,70,93,92,0.040464211255311966,0.037090398371219635,0.0,0.4588235318660736,0.0514538511633873,0.07771877944469452,1.2636581659317017,0.013868951238691807,0.023030443117022514,0.0
2026-06-02T20:52:17,5,buena,1,4,4,145,70,93,92,0.04041195660829544,0.03731157258152962,0.0,0.4941176474094391,0.05133180320262909,0.07850631326436996,1.3270670175552368,0.013823116198182106,0.02333729900419712,0.0
2026-06-02T20:52:18,6,buena,2,1,5,285,65,91,88,0.04661466181278229,0.03181084617972374,0.0,0.3686274588108063,0.047752171754837036,0.05407029017806053,0.8476759195327759,0.013265165500342846,0.0200723335146904,0.0
2026-06-02T20:52:18,6,buena,2,2,6,285,65,91,88,0.03795028477907181,0.024126550182700157,0.0,0.14509804546833038,0.039896558970212936,0.04144691303372383,0.333217978477478,0.012260779738426208,0.016542909666895866,0.0
2026-06-02T20:52:18,6,buena,2,3,7,285,65,91,88,0.03383968770503998,0.023629527539014816,0.0,0.15294118225574493,0.03964510187506676,0.04059480130672455,0.3402511775493622,0.012284774333238602,0.01646288111805916,0.0
2026-06-02T20:52:18,6,buena,2,4,8,285,65,91,88,0.04319014400243759,0.030123114585876465,0.0,0.34117648005485535,0.04630107805132866,0.051656629890203476,0.6825107336044312,0.012967914342880249,0.019334111362695694,0.0
2026-06-02T20:52:19,7,buena,3,1,9,305,290,96,100,0.05859722942113876,0.0820060595870018,0.0,0.5490196347236633,0.08474872261285782,0.12161827087402344,1.3591276407241821,0.019530639052391052,0.0410294309258461,0.0
2026-06-02T20:52:19,7,buena,3,2,10,305,290,96,100,0.04177900776267052,0.03747730702161789,0.0,0.4941176474094391,0.06515337526798248,0.08279336243867874,1.1904140710830688,0.01704452745616436,0.029970841482281685,0.0
2026-06-02T20:52:19,7,buena,3,3,11,305,290,96,100,0.027711190283298492,0.030439263209700584,0.0,0.4745098054409027,0.05205751582980156,0.07838206738233566,1.294307827949524,0.015260621905326843,0.03026997298002243,0.0
